"All Establishment Details"
"January 2017"
"Report Date: 05/05/2017 11:10 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"629 MAIN, INC.","140701683","Peoria","4","118714.9900","104649.9100","14065.0800","37273.0000","23207.9200","14065.0800","4219.6100","3516.3500","703.2600",
"7 Days Market & Restaurant, Inc.","150701214","Johnsburg","3","54802.4800","49250.5600","5551.9200","17152.0000","11600.0100","5551.9900","1665.5800","1387.9800","277.6000",
"709 Cut-Rate Package Liquors, Inc.","130704673","Sangamon County","5","351082.2900","322460.7800","28621.5100","142342.0000","113720.4900","28621.5100","8586.5100","7155.4300","1431.0800",
"722 Bonner, LLC","120701453","Wauconda","5","254418.2300","232341.2100","22077.0200","78264.0000","56186.9800","22077.0200","6623.1600","5519.3000","1103.8600",
"728 INC.","120702095","Winthrop Harbor","4","221480.1200","202871.7200","18608.4000","69627.0000","51018.6500","18608.3500","5582.5300","4652.1100","930.4200",
"7300 Diversey Corp.","120712092","Elmwood Park","5","301264.8800","279991.7600","21273.1200","105300.0000","84026.8800","21273.1200","6381.9000","5318.2500","1063.6500",
"8 LANES A WEEK INC.","120700612","Woodstock","2","12079.0000","10289.2600","1789.7400","4359.0000","2569.2600","1789.7400","536.9400","447.4500","89.4900",
"801 North River Road, Inc.","130702849","McHenry County","4","114816.4900","103485.8500","11330.6400","38547.0000","27216.7100","11330.2900","3399.1700","2832.6400","566.5300",
"804 ENTERPRISES, LLC","120711985","Woodstock","5","150575.5000","133517.9400","17057.5600","55012.0000","37954.4400","17057.5600","5117.3000","4264.4200","852.8800",
"820 Club, Inc.","120707497","Streator","4","41852.8900","37922.9600","3929.9300","13500.0000","9570.0700","3929.9300","1179.0000","982.5000","196.5000",
"88 Bar & Grill, L.L.C.","130704521","Beardstown","5","141865.9600","127404.8800","14461.0800","41312.0000","26851.0700","14460.9300","4338.4300","3615.3600","723.0700",
"92 East Inc.","120707137","Fox Lake","5","256407.3500","232704.8300","23702.5200","68130.0000","44427.3000","23702.7000","7110.8600","5925.7200","1185.1400",
"9247 Corp.","120702148","Oak Lawn","5","340255.2500","318593.2800","21661.9700","88472.0000","66810.0300","21661.9700","6498.6500","5415.5400","1083.1100",
"96ERS, INC.","120701392","Crete","5","210785.9800","196746.1200","14039.8600","67121.0000","53081.1400","14039.8600","4212.0000","3510.0000","702.0000",
"A & A KINNARD, INC.","130703428","Cahokia","5","68471.1900","63263.4600","5207.7300","25940.0000","20732.3700","5207.6300","1562.3300","1301.9400","260.3900",
"A & B Gaming LLC","140703665","Belvidere","5","563454.3600","515355.5700","48098.7900","173753.0000","125654.2100","48098.7900","14429.7000","12024.7500","2404.9500",
"A & F LTD.","130700204","Carlinville","5","94728.6500","86044.0300","8684.6200","32183.0000","23498.3800","8684.6200","2605.4500","2171.2100","434.2400",
"A & F LTD.","130700209","Chesterfield","3","100015.8300","93103.4900","6912.3400","31877.0000","24964.6600","6912.3400","2073.7400","1728.1200","345.6200",
"A & M's Broadway, Inc.","120700142","Central City","5","123927.9200","116156.9700","7770.9500","36691.0000","28920.1300","7770.8700","2331.2900","1942.7400","388.5500",
