"All Establishment Details"
"February 2017"
"Report Date: 05/05/2017 11:07 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"4 J'S OF ILLINOIS, INC.","130701425","Ipava","3","30085.8700","25722.0200","4363.8500","9463.0000","5098.7900","4364.2100","1309.2900","1091.0700","218.2200",
"4 Play Pub N' Grub, LLC","130704518","Lake County","4","115912.5100","104649.1300","11263.3800","36343.0000","25079.6300","11263.3700","3379.0700","2815.9000","563.1700",
"4 T's Inc.","160703266","Valmeyer","3","14241.2100","14212.9900","28.2200","5182.0000","5153.7800","28.2200","8.4700","7.0600","1.4100",
"4-WAY STOP, INC.","120703515","Villa Grove","5","227487.6700","206649.4100","20838.2600","79198.0000","58290.6900","20907.3100","6272.2700","5226.9000","1045.3700",
"411 EAST, INCORPORATED","160702790","Springfield","4","117397.4200","109641.5000","7755.9200","34901.0000","27145.1200","7755.8800","2326.7800","1938.9800","387.8000",
"45 SOUTH, INC.","130704549","Neoga","5","301855.5700","279381.6800","22473.8900","98016.0000","75542.0100","22473.9900","6742.2300","5618.5300","1123.7000",
"459 Randall Crossings Co.","150701461","North Aurora","4","175818.7300","165291.1800","10527.5500","56603.0000","46075.4500","10527.5500","3158.2200","2631.8500","526.3700",
"4841 BUTTERFIELD CORPORATION","120705102","Hillside","3","200895.1700","187699.1600","13196.0100","59271.0000","46074.9900","13196.0100","3958.7600","3298.9700","659.7900",
"4ME, INC.","160701975","Vermilion County","5","442901.8700","405092.2800","37809.5900","137312.0000","99502.5000","37809.5000","11342.9800","9452.4800","1890.5000",
"4th & Goal Grill, LLC","160701185","Washington","5","123364.1700","111670.7700","11693.4000","37781.0000","26087.8700","11693.1300","3507.9400","2923.2900","584.6500",
"51/50 Saloon Inc.","160700735","Sandoval","5","118415.6400","111994.9100","6420.7300","35428.0000","29006.7600","6421.2400","1926.4100","1605.3500","321.0600",
"516 First Street Corp.","140703417","La Salle","3","25558.7200","24902.6000","656.1200","7949.0000","7292.8800","656.1200","196.8500","164.0400","32.8100",
"525 GRILL & BAR, INC.","120705512","Chicago Heights","5","391338.6600","357974.7000","33363.9600","125275.0000","91910.8400","33364.1600","10009.3200","8341.1000","1668.2200",
"5436 S. HARLEM LLC.","130703962","Summit","5","106989.2200","97125.8600","9863.3600","32856.0000","22992.4400","9863.5600","2959.1800","2465.9900","493.1900",
"5th Street Billiards Bar and Grill, LLC","140704182","Dupo","5","223857.0800","207106.1500","16750.9300","55636.0000","38885.0700","16750.9300","5025.3100","4187.7600","837.5500",
"602604 LLC","150700582","Bloomington","3","4577.9800","3914.1900","663.7900","2030.0000","1366.2100","663.7900","199.1400","165.9500","33.1900",
"629 MAIN, INC.","140701683","Peoria","4","108001.5500","97839.8800","10161.6700","33206.0000","23044.3300","10161.6700","3048.5600","2540.4700","508.0900",
"7 Days Market & Restaurant, Inc.","150701214","Johnsburg","3","43067.4800","41579.1300","1488.3500","15145.0000","13656.4000","1488.6000","446.6100","372.1700","74.4400",
"709 Cut-Rate Package Liquors, Inc.","130704673","Sangamon County","5","408408.8100","384445.7500","23963.0600","155861.0000","131897.9000","23963.1000","7188.9800","5990.8200","1198.1600",
"722 Bonner, LLC","120701453","Wauconda","5","245558.8900","220952.8800","24606.0100","76061.0000","51454.9900","24606.0100","7381.8700","6151.5600","1230.3100",
"728 INC.","120702095","Winthrop Harbor","4","198625.3800","183303.3900","15321.9900","61651.0000","46329.0600","15321.9400","4596.6200","3830.5200","766.1000",
"7300 Diversey Corp.","120712092","Elmwood Park","5","265687.4800","242291.5300","23395.9500","90864.0000","67468.0500","23395.9500","7018.8100","5849.0100","1169.8000",
"750 Cucina Rustica, LLC","160703129","Cary","5","37899.9800","32872.4500","5027.5300","13064.0000","8036.4700","5027.5300","1508.3000","1256.9200","251.3800",
"7513 West Madison Street, Inc.","160703804","Forest Park","5","101514.4200","92574.1500","8940.2700","33821.0000","24880.7300","8940.2700","2682.1000","2235.0900","447.0100",
"8 LANES A WEEK INC.","120700612","Woodstock","2","14544.5500","13497.7500","1046.8000","4252.0000","3205.2000","1046.8000","314.0400","261.7000","52.3400",
"801 North River Road, Inc.","130702849","McHenry County","4","143407.1700","130538.9900","12868.1800","48631.0000","35762.8200","12868.1800","3860.4700","3217.0600","643.4100",
"804 ENTERPRISES, LLC","120711985","Woodstock","5","162463.9100","148750.5100","13713.4000","49858.0000","36144.6000","13713.4000","4114.0200","3428.3500","685.6700",
"820 Club, Inc.","120707497","Streator","4","43012.1700","40368.2500","2643.9200","15780.0000","13136.0800","2643.9200","793.2500","661.0500","132.2000",
"88 Bar & Grill, L.L.C.","130704521","Beardstown","5","179696.6300","161254.7700","18441.8600","51430.0000","32987.9400","18442.0600","5532.7100","4610.5900","922.1200",
"92 East Inc.","120707137","Fox Lake","5","255879.7300","234230.4600","21649.2700","70512.0000","48862.9100","21649.0900","6494.7300","5412.2700","1082.4600",
"9247 Corp.","120702148","Oak Lawn","5","333862.2800","307614.0700","26248.2100","92571.0000","66322.7700","26248.2300","7874.4500","6562.0400","1312.4100",
"96ERS, INC.","120701392","Crete","5","187616.6700","172490.5000","15126.1700","59166.0000","44039.8300","15126.1700","4537.8900","3781.5800","756.3100",
"A & A KINNARD, INC.","130703428","Cahokia","5","95818.6000","87947.1900","7871.4100","32259.0000","24387.4300","7871.5700","2361.4800","1967.9000","393.5800",
"A & B Gaming LLC","140703665","Belvidere","5","493400.8400","440557.4800","52843.3600","155528.0000","102684.6400","52843.3600","15853.0200","13210.8600","2642.1600",
"A & F LTD.","130700204","Carlinville","5","147629.2900","134417.9500","13211.3400","47092.0000","33880.2100","13211.7900","3963.5400","3302.9500","660.5900",
"A & F LTD.","130700209","Chesterfield","3","60951.7300","54737.3400","6214.3900","17574.0000","11359.6100","6214.3900","1864.3800","1553.6500","310.7300",
"A & M's Broadway, Inc.","120700142","Central City","5","173930.4400","162948.8500","10981.5900","48787.0000","37805.4100","10981.5900","3294.5500","2745.4600","549.0900",
"A & P Hospitality of Illinois LLC","150701151","Calumet Park","5","549682.7400","499020.3300","50662.4100","224626.0000","173964.0000","50662.0000","15198.6600","12665.5500","2533.1100",
"A & S Enterprises of Illinois, LLC","121010810","Carmi","5","712909.1400","660790.9500","52118.1900","165309.0000","113178.4200","52130.5800","15639.1900","13032.6600","2606.5300",
"A G P 18 INCORPORATED","150704443","Belvidere","5","191138.8400","177653.5400","13485.3000","65142.0000","51656.7000","13485.3000","4045.6200","3371.3500","674.2700",
"A K ENTERPRISES OF RICHMOND INC.","150702279","Richmond","5","434476.4500","405665.2900","28811.1600","136674.0000","107862.9700","28811.0300","8643.3300","7202.7700","1440.5600",
"A One A, Inc.","140702940","Vandalia","5","106467.0500","99594.2100","6872.8400","31607.0000","24734.1600","6872.8400","2061.8600","1718.2200","343.6400",
"A Segura LLC","160701785","Kewanee","4","88628.4100","79098.7900","9529.6200","26588.0000","17058.3800","9529.6200","2858.8900","2382.4100","476.4800",
"A&J Restaurant Enterprises, Inc.","160703255","Ogle County","3","25577.1400","22579.3500","2997.7900","9148.0000","6150.2100","2997.7900","899.3600","749.4700","149.8900",
"A&R Gaming, LLC","160704227","East Alton","5","192354.0100","178140.4400","14213.5700","58209.0000","43995.4300","14213.5700","4264.0900","3553.4100","710.6800",
"A'Salute' Inc.","160702452","St. Charles","5","120385.5000","112633.0100","7752.4900","36777.0000","29024.2600","7752.7400","2325.8800","1938.2400","387.6400",
"A. C. FOX, INC.","160701112","Oak Lawn","5","125435.0800","111936.5200","13498.5600","36217.0000","22718.4400","13498.5600","4049.6300","3374.6900","674.9400",
"A. C. Pitstop, Inc.","120702284","Walnut Hill","5","253643.6400","228105.3200","25538.3200","82787.0000","57248.6800","25538.3200","7661.6100","6384.6800","1276.9300",
"A.A.A. M & V, Inc.","130703265","Roscoe","5","853586.4000","790761.2100","62825.1900","245124.0000","182334.9500","62789.0500","18836.7000","15697.2500","3139.4500",
"A.A.A.M & V, Inc.","140702586","Roscoe","5","595024.7000","550275.4700","44749.2300","175822.0000","131072.7700","44749.2300","13424.8500","11187.3700","2237.4800",
"A.B.E., INC.","121001285","Thomson","4","96434.3100","88977.2000","7457.1100","25431.0000","17973.8900","7457.1100","2237.1700","1864.3100","372.8600",
"A.C. Fischer, Inc.","150701601","Belleville","5","118908.6500","111631.5800","7277.0700","35030.0000","27752.9300","7277.0700","2183.1200","1819.2700","363.8500",
"A.C. Hicks, Inc.","140700193","Nelson","4","124900.2200","114015.4400","10884.7800","32559.0000","21674.1300","10884.8700","3265.5200","2721.2700","544.2500",
"A.J.'s Lounge of Benson, Inc.","120707733","Benson","3","125756.3000","114255.0200","11501.2800","39870.0000","28368.7200","11501.2800","3450.3800","2875.3200","575.0600",
"A.J.C. Georges, Inc.","120709885","Countryside","5","223863.8900","208281.5300","15582.3600","71740.0000","56157.6400","15582.3600","4674.7200","3895.6000","779.1200",
"A.P.W. Inc.","140703778","West Peoria","3","65183.6100","61975.6500","3207.9600","20759.0000","17551.0400","3207.9600","962.4000","802.0000","160.4000",
"A.S.GIAN CORPORATION","160701115","Rochelle","5","123445.1400","110833.3100","12611.8300","44967.0000","32355.1700","12611.8300","3783.5900","3152.9900","630.6000",
"AAP SERVICES, INC.","140703403","Pittsfield","4","102652.5700","94672.5400","7980.0300","34517.0000","26537.2900","7979.7100","2393.9300","1994.9500","398.9800",
"Aaron B Hicks","120706185","Warren","2","64680.3500","57243.5900","7436.7600","17703.0000","10266.2300","7436.7700","2231.0200","1859.1900","371.8300",
"ABBE LANES BOWLING CENTER, INC.","120704413","Galesburg","5","188400.6200","171547.8200","16852.8000","58098.0000","41245.2000","16852.8000","5055.9300","4213.2800","842.6500",
"ABE'S HIDEOUT, LLC","160700677","Mechanicsburg","3","76015.8700","71761.6600","4254.2100","19573.0000","15318.7900","4254.2100","1276.2900","1063.5800","212.7100",
"ABEL LLC","150701791","Taylor Springs","4","42002.5400","36402.9300","5599.6100","14303.0000","8703.5500","5599.4500","1679.8800","1399.9000","279.9800",
"ABRUZZO'S DIVISION LOUNGE AND ITALIAN RESTAURANT, INC.","130700290","Melrose Park","4","58332.0100","54427.8200","3904.1900","17969.0000","14064.8100","3904.1900","1171.3000","976.0800","195.2200",
"ACCS Restaurants Columbia LLC","120705277","Columbia","4","214136.5600","194900.2600","19236.3000","60891.0000","41654.7000","19236.3000","5770.8700","4809.0600","961.8100",
"Acees, Inc.","141001836","Dongola","4","194338.2700","173356.9200","20981.3500","49957.0000","28975.9400","20981.0600","6294.4300","5245.3600","1049.0700",
"Acees, Inc.","121004486","Metropolis","5","1350398.4300","1256786.6700","93611.7600","331075.0000","236939.9800","94135.0200","28240.5600","23533.8000","4706.7600",
"Acees, Inc.","141001879","Vienna","4","257612.7800","233848.9900","23763.7900","66223.0000","42459.2200","23763.7800","7129.2100","5941.0100","1188.2000",
"Ach-N-Lou's Pizza Pub, Inc.","130706356","Aurora","3","52019.7400","46525.4200","5494.3200","16881.0000","11386.6800","5494.3200","1648.3000","1373.5900","274.7100",
"Achille Foster","160700778","Decatur","5","264707.5800","244364.8500","20342.7300","105103.0000","84760.2700","20342.7300","6102.8700","5085.7200","1017.1500",
"Across The Border LLC","160700590","Melrose Park","4","79663.1500","73910.6200","5752.5300","26898.0000","21145.4700","5752.5300","1725.8200","1438.1800","287.6400",
"ACSWISS, INC.","130702608","Union","4","60450.7700","55580.7600","4870.0100","22289.0000","17418.9900","4870.0100","1461.0600","1217.5500","243.5100",
"ACTION BILLIARDS, INC.","130701767","Darien","5","393252.8700","359465.4400","33787.4300","120277.0000","86489.7700","33787.2300","10136.2400","8446.8700","1689.3700",
"Adam Harris, Inc.","120705648","Granite City","5","328487.6000","304972.4300","23515.1700","94411.0000","70895.7900","23515.2100","7054.6700","5878.8900","1175.7800",
"ADAMS COUNTY AMVETS POST NO. 76 INC.","140903973","Ursa","2","17563.8300","16037.1900","1526.6400","3340.0000","1813.1600","1526.8400","458.0500","381.7100","76.3400",
"ADCD, Inc.","120700736","Mineral","5","194664.4900","184605.6600","10058.8300","68875.0000","58816.1700","10058.8300","3017.7400","2514.7800","502.9600",
"Addison Post No. 7446, Veterans of Foreign Wars of the United States, Inc.","120905892","Addison","5","117383.6400","105502.3100","11881.3300","39249.0000","27367.4200","11881.5800","3564.5700","2970.4800","594.0900",
"ADI of Champaign, Inc.","120707531","Champaign","5","322374.4500","302229.6100","20144.8400","108974.0000","88829.1600","20144.8400","6043.4300","5036.1900","1007.2400",
"Adkins & Son, Inc.","120706961","Germantown Hills","4","55465.9700","48407.3200","7058.6500","17816.0000","10757.4500","7058.5500","2117.5800","1764.6500","352.9300",
"Adriana's Restaurant & Lounge, Incorporated","120700282","Harvard","5","87947.6000","80331.0000","7616.6000","30854.0000","23237.3900","7616.6100","2285.0800","1904.2400","380.8400",
"ADVANCED AMUSEMENT SERVICE, L.L.C.","140700642","Lyons","5","269462.9700","242589.4100","26873.5600","92285.0000","65411.4400","26873.5600","8062.1400","6718.4500","1343.6900",
"AEFC, Inc.","120707313","Rockford","5","215137.5700","193616.0600","21521.5100","68318.0000","46796.3400","21521.6600","6456.5200","5380.4400","1076.0800",
"Aero Alehouse LLC","140704005","Loves Park","4","154267.5800","137852.2400","16415.3400","51182.0000","34766.6600","16415.3400","4924.6200","4103.8500","820.7700",
"AF TRUCK CENTER, LLC","151002412","Northlake","5","432703.7200","398541.7000","34162.0200","131197.0000","97035.0300","34161.9700","10248.6300","8540.5200","1708.1100",
"After The Fox, Ltd.","120702020","McHenry","5","410204.5200","391464.8900","18739.6300","124818.0000","106078.3700","18739.6300","5621.9800","4684.9900","936.9900",
"AG ENTERTAINMENT INC","120700144","South Elgin","5","504944.3100","462586.0900","42358.2200","169187.0000","126828.7800","42358.2200","12707.5400","10589.6200","2117.9200",
"Agim Mehmedi ","130702562","Salem","5","181929.4600","172549.7100","9379.7500","50235.0000","40855.2400","9379.7600","2813.9400","2344.9500","468.9900",
"Agnandi, Inc.","130705107","Posen","5","437647.5700","395993.5900","41653.9800","138801.0000","97147.0200","41653.9800","12496.2300","10413.5300","2082.7000",
"AGR Group, LLC","120709064","Pekin","3","92411.2300","84077.2800","8333.9500","23057.0000","14723.0100","8333.9900","2500.2100","2083.5100","416.7000",
"Ahlstrand and Ahlstrand, Inc.","120704627","Rock Falls","5","320888.3900","296484.7100","24403.6800","96184.0000","71780.1500","24403.8500","7321.2500","6101.0400","1220.2100",
"Ahrvt3 Inc.","160700299","Winnebago County","3","82598.6000","73811.4100","8787.1900","23444.0000","14656.8100","8787.1900","2636.2200","2196.8500","439.3700",
"AJ'S BAR & GRILL, INC.","130701423","Arenzville","2","28726.5600","25449.8100","3276.7500","8784.0000","5507.2500","3276.7500","983.0700","819.2200","163.8500",
"AJ'S PIZZERIA & SPIRITS, LLC","150702109","North Chicago","5","359488.0400","330748.3100","28739.7300","122891.0000","94151.3700","28739.6300","8621.9400","7184.9500","1436.9900",
"AJ's, LLC","150700614","Round Lake Heights","5","537667.3100","496974.5000","40692.8100","172135.0000","131442.4400","40692.5600","12207.7800","10173.1600","2034.6200",
"AJG Industries, Inc.","160700876","Springfield","3","64334.2500","55503.2500","8831.0000","31128.0000","22297.0200","8830.9800","2649.3500","2207.8000","441.5500",
"AKMJ ENTERPRISES, INC.","150700444","Freeport","5","286377.8300","258979.1900","27398.6400","92846.0000","65447.3600","27398.6400","8219.6400","6849.7000","1369.9400",
"Al & Joe's Foods & Liquors, Inc.","120710147","Franklin Park","4","125048.5700","116013.9600","9034.6100","35962.0000","26927.3800","9034.6200","2710.4200","2258.6900","451.7300",
"Al's Bella Vista, Inc.","120709416","La Salle","2","18005.1600","16975.5300","1029.6300","5742.0000","4712.2200","1029.7800","308.9700","257.4800","51.4900",
"Al's Place, Inc.","120710503","Sullivan","5","64151.0100","60366.7200","3784.2900","16546.0000","12761.7600","3784.2400","1135.2800","946.0600","189.2200",
"ALAMO FOODS, INC.","120708004","Chatham","5","298631.9700","281002.8900","17629.0800","97917.0000","80287.9200","17629.0800","5288.7700","4407.3100","881.4600",
"ALAMO FOODS, INC.","120708006","Springfield","5","196621.7500","177168.4900","19453.2600","62301.0000","42847.7400","19453.2600","5836.0400","4863.3600","972.6800",
"ALAN MYERS","140704064","Bartonville","5","225366.4000","201843.6700","23522.7300","68547.0000","45024.2700","23522.7300","7056.8800","5880.7400","1176.1400",
"Albert Parker Post No. 620, The American Legion, Department of Illinois","140902356","Bement","3","107222.9400","100986.4400","6236.5000","28791.0000","22554.5000","6236.5000","1870.9800","1559.1500","311.8300",
"Albion Browns Post #590 American Legion, Inc.","130905306","Albion","4","40776.9900","36034.7800","4742.2100","12077.0000","7334.7600","4742.2400","1422.7200","1185.6000","237.1200",
