"All Establishment Details"
"February 2017"
"Report Date: 05/05/2017 11:07 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"Linda L Reynolds","120700268","Breese","2","40315.9300","37116.5900","3199.3400","12685.0000","9485.6600","3199.3400","959.8100","799.8500","159.9600",
"Linda Lou Thompson","120700687","East Dubuque","4","96824.1400","88445.9000","8378.2400","23750.0000","15371.7600","8378.2400","2513.4600","2094.5500","418.9100",
"LINDA LOU'S, INC.","130702913","Lacon","4","100381.1400","96184.1000","4197.0400","29936.0000","25738.9700","4197.0300","1259.1200","1049.2700","209.8500",
"LINDA LU'S SUNSET INN AGAIN, LLC","140700171","Madison County","4","132771.1200","116732.5100","16038.6100","35217.0000","19178.3900","16038.6100","4811.7100","4009.7600","801.9500",
"LINDA'S ATTIC, INC.","120710351","McHenry","4","184229.0400","172142.0500","12086.9900","66442.0000","54355.0100","12086.9900","3626.0900","3021.7500","604.3400",
"Lindsay Beverage Enterprises, Inc.","120701395","North Aurora","5","348481.7800","317997.7200","30484.0600","117734.0000","87249.9400","30484.0600","9145.2200","7621.0200","1524.2000",
"Lindsay's Tavern, Inc.","120707218","Pittsfield","5","304625.6800","279845.8900","24779.7900","94219.0000","69439.1600","24779.8400","7433.9700","6194.9800","1238.9900",
"Lindsays' Too, Inc.","120707219","Pittsfield","3","13103.3400","11496.6600","1606.6800","5923.0000","4316.3200","1606.6800","482.0300","401.7000","80.3300",
"Lindy R. Satterfield","120704609","Carmi","5","191909.2700","176481.0700","15428.2000","56736.0000","41307.6800","15428.3200","4628.5700","3857.1500","771.4200",
"Linemen's Lounge, LLC","120706446","Johnston City","5","150746.0800","135130.6000","15615.4800","53669.0000","38053.5200","15615.4800","4684.7000","3903.9200","780.7800",
"Linn Lanes, LLC","160702705","Canton","5","334045.9000","311026.6500","23019.2500","89630.0000","66610.7000","23019.3000","6905.8100","5754.8400","1150.9700",
"Lions Distinctive Wines, Co.","160700342","Effingham","5","238357.3300","220347.0100","18010.3200","73863.0000","55852.6000","18010.4000","5403.2100","4502.6800","900.5300",
"Lipps, Inc.","130705912","Elmwood Park","3","56235.1200","50780.5400","5454.5800","19113.0000","13658.4000","5454.6000","1636.4000","1363.6700","272.7300",
"LIPS CHRISTOFFERSEN, INC","120706073","Amboy","5","142830.7400","131856.7800","10973.9600","45679.0000","34704.9900","10974.0100","3292.2500","2743.5400","548.7100",
"LIQUID BLUES LTD.","120711784","Woodstock","5","102779.8000","92965.3900","9814.4100","30319.0000","20504.5200","9814.4800","2944.4200","2453.6800","490.7400",
"Liquid Therapy INC","120700608","Joliet","5","160023.4700","153778.1900","6245.2800","48320.0000","42074.7200","6245.2800","1873.6100","1561.3400","312.2700",
"LIQUIDIUM CORPORATION","160703879","Danville","4","88016.8100","80995.9000","7020.9100","31572.0000","24551.0800","7020.9200","2106.3100","1755.2600","351.0500",
"LIQUOR N WINE INC","130705199","Dixon","5","294284.4000","271196.8100","23087.5900","93257.0000","70168.4100","23088.5900","6926.6300","5772.1900","1154.4400",
"Lirim Neim Mimini","160702868","Ashton","4","70016.7600","66614.6500","3402.1100","21564.0000","18161.8900","3402.1100","1020.6300","850.5300","170.1000",
"LISA FRISBY ENTERPRISES, LLC","150701897","Kewanee","5","222890.8800","205104.3200","17786.5600","60857.0000","43070.4400","17786.5600","5335.9200","4446.6000","889.3200",
"Lisa's Diner of Midlothian, Inc.","140701900","Midlothian","4","113447.2900","104515.9900","8931.3000","32216.0000","23284.6600","8931.3400","2679.4500","2232.8700","446.5800",
"Litchfield Bowling, Incorporated","120708411","Litchfield","4","85330.5900","75760.9800","9569.6100","26706.0000","17136.3900","9569.6100","2870.9500","2392.4600","478.4900",
"Litchfield Lodge No. 1634, Loyal Order Of Moose","120801452","Litchfield","5","224607.8200","202829.9400","21777.8800","73678.0000","51900.0200","21777.9800","6533.4400","5444.5400","1088.9000",
"LITCHFIELD POST 3912, VETERANS OF FOREIGN WARS OF THE UNITED STATES","120905349","Litchfield","3","39013.8600","37736.7500","1277.1100","12725.0000","11447.8900","1277.1100","383.1500","319.3000","63.8500",
"Lititia Marie Robinson","120711315","Thayer","3","69672.2900","65583.1600","4089.1300","26356.0000","22266.8700","4089.1300","1226.7500","1022.2900","204.4600",
"Little Brown Pub, Inc.","120702092","Hinckley","5","184933.1400","164228.6600","20704.4800","67188.0000","46483.5200","20704.4800","6211.3800","5176.1500","1035.2300",
"Little Four, Inc.","120703842","East Alton","5","251506.9500","230114.9500","21392.0000","69041.0000","47648.9500","21392.0500","6417.6200","5348.0100","1069.6100",
"Little Jennie, Inc.","140700766","McHenry","3","62359.1700","59210.9200","3148.2500","18604.0000","15455.7500","3148.2500","944.4600","787.0500","157.4100",
"Little Joe's Restaurant & Pizza, Inc.","160702061","Tinley Park","3","63618.1800","56769.8100","6848.3700","20766.0000","13917.6300","6848.3700","2054.5700","1712.1400","342.4300",
"Little Joes Beef, Inc.","120701412","Countryside","3","98158.3300","85468.4700","12689.8600","32121.0000","19431.1400","12689.8600","3806.9700","3172.4700","634.5000",
"Little Nashville, Inc.","121003629","Nashville","5","390663.7000","361226.7200","29436.9800","108619.0000","79182.6500","29436.3500","8830.9500","7359.1300","1471.8200",
"LITTLE VEGAS GAMING, LLC","150701641","Carbondale","5","509565.8000","467988.2800","41577.5200","154212.0000","112634.4800","41577.5200","12473.3500","10394.4500","2078.9000",
"LITTLE VEGAS GAMING, LLC","140700661","Harrisburg","5","384611.2300","363297.9300","21313.3000","104299.0000","82985.5400","21313.4600","6394.0600","5328.3900","1065.6700",
"LITTLE VEGAS GAMING, LLC","160702520","Carbondale","5","465637.4800","433187.4200","32450.0600","157381.0000","124930.9400","32450.0600","9735.0900","8112.5700","1622.5200",
"LITTLE VEGAS INC.","140703249","Oglesby","5","149613.1200","135035.9600","14577.1600","44330.0000","29752.8400","14577.1600","4373.1900","3644.3200","728.8700",
"Live Star Banquet Hall, Inc.","130704318","Waukegan","5","291913.6900","267345.4900","24568.2000","104440.0000","79872.1100","24567.8900","7370.3900","6142.0000","1228.3900",
"LIVELY'S BAR, LLC","120708492","Tamaroa","3","84828.3900","76524.2500","8304.1400","25176.0000","16871.7300","8304.2700","2491.3200","2076.1000","415.2200",
"LIVIN THE DREAM, LTD.","130704741","Lake County","5","266917.2400","243467.4700","23449.7700","82752.0000","59302.2300","23449.7700","7034.9600","5862.4700","1172.4900",
"LKH, Inc.","120700463","Bloomington","5","597057.9400","554942.1300","42115.8100","187537.0000","145420.8000","42116.2000","12634.9200","10529.1100","2105.8100",
"Lloyd Staber Jr.","120702130","Springfield","4","128879.2700","123490.5400","5388.7300","41901.0000","36512.0300","5388.9700","1616.7700","1347.3100","269.4600",
"LMBRIES, INC.","140702506","Waterloo","3","91789.5200","86444.3200","5345.2000","20176.0000","14830.8000","5345.2000","1603.5800","1336.3100","267.2700",
"Loami Country Market Incorporated","150703256","Loami","4","36045.0900","33821.7100","2223.3800","11802.0000","9578.6200","2223.3800","667.0500","555.8800","111.1700",
"Locals 101 Bar & Grille, Inc.","150704325","Decatur","5","26263.5900","23618.0500","2645.5400","10828.0000","8182.4900","2645.5100","793.6900","661.4100","132.2800",
"Locascio's South, Inc.","120702210","Grant Park","4","84058.8700","77199.1100","6859.7600","25204.0000","18344.2400","6859.7600","2057.9500","1714.9600","342.9900",
"Lockheede LLC","130706585","Lake County","4","122959.2200","112101.1700","10858.0500","37909.0000","27050.9500","10858.0500","3257.4800","2714.5700","542.9100",
"Lockport Lodge No. 1557 Loyal Order Of The Moose Inc.","120808631","Lockport","5","269641.5400","247833.1900","21808.3500","71385.0000","49576.6500","21808.3500","6542.5300","5452.1100","1090.4200",
"Lockport Lounge, Inc.","120700273","Lockport","5","234896.2000","221624.6700","13271.5300","69393.0000","56121.4700","13271.5300","3981.4300","3317.8600","663.5700",
"Lockport Post No. 5788 Veterans of Foreign Wars of the United States, Inc.","120910783","Lockport","5","379688.1200","352533.9600","27154.1600","90550.0000","63395.8400","27154.1600","8146.2800","6788.5700","1357.7100",
"Loda Big Mart Inc.","150704187","Loda","5","61928.6400","55593.4500","6335.1900","24520.0000","18184.8100","6335.1900","1900.5600","1583.8000","316.7600",
"Lodge #1516, Loyal Order of Moose","120811366","Taylorville","5","92603.1700","81547.4200","11055.7500","27318.0000","16261.2500","11056.7500","3317.1500","2764.2900","552.8600",
"Lodi Tap House, LLC","160703778","Maple Park","3","77496.8400","73620.2800","3876.5600","23894.0000","20017.3300","3876.6700","1163.0000","969.1700","193.8300",
"Log Cabin Incorporated","120704529","Marion","4","23353.4700","20034.3000","3319.1700","7924.0000","4604.6300","3319.3700","995.8100","829.8400","165.9700",
"Logan Avenue Slots & Lounge, Inc.","160700070","Boone County","5","273200.7300","245610.5000","27590.2300","89634.0000","62043.7700","27590.2300","8277.1200","6897.6000","1379.5200",
"LOGAN POST NUMBER 263, DEPARTMENT OF ILLINOIS, OF THE AMERICAN LEGION","120907128","Lincoln","5","211055.8200","193740.2300","17315.5900","70334.0000","53018.1000","17315.9000","5194.7600","4328.9700","865.7900",
"Logan's Bar & Grill, Inc.","120709723","Freeport","5","472818.2100","438343.7100","34474.5000","147199.0000","112724.5000","34474.5000","10342.4500","8618.7100","1723.7400",
"Lollie's Cafe, LLC","120710646","Sparta","5","249195.0200","230725.0900","18469.9300","83158.0000","64688.0400","18469.9600","5541.0500","4617.5400","923.5100",
"Lollie's Cafe, LLC","140703136","Percy","5","54068.1100","48801.4200","5266.6900","19406.0000","14139.3100","5266.6900","1580.0500","1316.7100","263.3400",
"Lone Elm Aerie Fraternal Order of Eagles","120810681","Clinton","5","303806.4000","283370.4300","20435.9700","96513.0000","76076.9100","20436.0900","6130.8600","5109.0600","1021.8000",
"Lone Oak Golf Course, Inc.","140700027","Greene County","3","109962.9400","99912.6200","10050.3200","29002.0000","18951.6300","10050.3700","3015.1400","2512.6200","502.5200",
"Long Branch Again, Inc.","120707752","Cooksville","5","221801.1800","206467.2500","15333.9300","64365.0000","49031.1700","15333.8300","4600.2300","3833.5200","766.7100",
"LONG BRIDGE GOLF COURSE, INC.","130705875","Sangamon County","3","41788.2800","37964.7900","3823.4900","15267.0000","11443.5100","3823.4900","1147.0400","955.8700","191.1700",
"Long Grove Pizza & BBQ, LLC","150704454","Long Grove","3","51387.3800","47050.3000","4337.0800","17321.0000","12983.9200","4337.0800","1301.1400","1084.2800","216.8600",
"Long Shot to Win, Inc.","130704688","Orland Hills","5","646212.7600","595330.3100","50882.4500","181394.0000","130511.5500","50882.4500","15264.8100","12720.6800","2544.1300",
"LONGFORD PUB, INC.","140702743","Crestwood","5","299024.7200","273666.2300","25358.4900","83014.0000","57655.1600","25358.8400","7607.7500","6339.8000","1267.9500",
"LONGUST RETAIL INC.","140700008","Jefferson County","5","278454.3800","260357.3000","18097.0800","81178.0000","63080.9200","18097.0800","5429.1400","4524.2900","904.8500",
"Lonnie Lee Wiggins","130703841","Wayne County","5","93484.3300","86113.4000","7370.9300","20826.0000","13455.2200","7370.7800","2211.2500","1842.7100","368.5400",
"Looney Bin, Inc.","120704415","Bradley","5","155868.9000","148606.7900","7262.1100","54934.0000","47671.8900","7262.1100","2178.7100","1815.5900","363.1200",
"Loose Cobra, Inc.","140703388","Tolono","3","58074.5500","55363.8900","2710.6600","18201.0000","15490.3400","2710.6600","813.1900","677.6600","135.5300",
"Loose Screw, Inc.","120700602","German Valley","5","75366.3500","66354.9100","9011.4400","27957.0000","18945.5500","9011.4500","2703.5400","2252.9500","450.5900",
"LOOSE TAPS INCORPORATED","120703207","Champaign","5","138635.9600","126285.3400","12350.6200","50554.0000","38203.3800","12350.6200","3705.2800","3087.7400","617.5400",
"Lorena's Mexican Restaurant Inc.","130703106","East Peoria","3","62776.1900","55710.5200","7065.6700","24144.0000","17078.3300","7065.6700","2119.7200","1766.4400","353.2800",
"Lorenzetti's Inc.","130704159","Chicago Heights","4","166959.3700","151657.4800","15301.8900","60917.0000","45615.1100","15301.8900","4590.6000","3825.5000","765.1000",
"Lori A Thompson","120704006","Clinton County","5","184927.9800","172347.5400","12580.4400","59624.0000","47043.4200","12580.5800","3774.2500","3145.2100","629.0400",
"LORRI'S MARIETTA TAP, INC.","120711752","Marietta","4","91389.7400","81147.7900","10241.9500","32117.0000","21875.0500","10241.9500","3072.6000","2560.5100","512.0900",
"Los Burritos Lokos #3, Inc.","160701789","Midlothian","2","12083.0500","11067.1500","1015.9000","5240.0000","4224.1400","1015.8600","304.7500","253.9600","50.7900",
"LOS COMPADRES DE WAUKEGAN, INC.","120710673","Waukegan","5","266579.4100","242625.9000","23953.5100","93516.0000","69562.4900","23953.5100","7186.0700","5988.3900","1197.6800",
"Los Gringos, Inc.","120709651","Carbondale","5","301280.0800","276890.7600","24389.3200","117549.0000","93159.6800","24389.3200","7316.8600","6097.3900","1219.4700",
"LOS METATES CORPORATION","150701085","Cicero","4","184732.5100","169592.9400","15139.5700","50520.0000","35380.4300","15139.5700","4541.9200","3784.9300","756.9900",
"Los Sauces Bar & Grill Incorporated","150703736","Decatur","5","42645.8200","38849.1000","3796.7200","16640.0000","12843.2800","3796.7200","1139.0600","949.2200","189.8400",
"Los Tarascos Restaurant Inc.","160701242","Streamwood","4","67403.6300","62500.8800","4902.7500","24700.0000","19797.2500","4902.7500","1470.8800","1225.7300","245.1500",
"LOS TRES HERMANOUS, INC.","120701375","Joliet","5","214289.6800","195801.1400","18488.5400","69963.0000","51474.5900","18488.4100","5546.6100","4622.1800","924.4300",
"LOTTIE'S CAFE OF ILLINOIS, LLC","160701135","Collinsville","5","321618.7100","295869.1700","25749.5400","108823.0000","83073.5100","25749.4900","7724.9400","6437.4500","1287.4900",
"Lou A Boswell","120704945","Anna","5","129078.7200","118311.3700","10767.3500","38442.0000","27674.2000","10767.8000","3230.3600","2691.9600","538.4000",
"Lou's Coffee and Wine Bar, Inc.","130700436","Crestwood","5","508878.3100","470356.3300","38521.9800","161378.0000","122856.0200","38521.9800","11556.6000","9630.5000","1926.1000",
"Lou's, Inc.","150701450","Springfield","3","53382.5200","47868.6400","5513.8800","15470.0000","9956.1200","5513.8800","1654.2100","1378.5100","275.7000",
"Loudean's, Inc.","120704208","Hurst","5","125144.5700","114654.5200","10490.0500","34526.0000","24035.9500","10490.0500","3147.0300","2622.5200","524.5100",
"Louie's Pad Bar & Grill, Inc.","160700001","Tazewell County","4","29935.9800","26328.7600","3607.2200","10773.0000","7165.7800","3607.2200","1082.2000","901.8400","180.3600",
"Love's Travel Stops & Country Stores, Inc.","141003301","Hamel","4","562542.6700","518329.6300","44213.0400","149601.0000","105387.8000","44213.2000","13263.9700","11053.3100","2210.6600",
"Love's Travel Stops & Country Stores, Inc.","141003302","New Baden","5","728734.4300","676542.6200","52191.8100","191252.0000","139072.5400","52179.4600","15653.8800","13044.9000","2608.9800",
"Love's Travel Stops & Country Stores, Inc.","131003997","Oglesby","5","621698.5100","569560.8100","52137.7000","177598.0000","125455.5900","52142.4100","15642.7500","13035.6300","2607.1200",
"Love's Travel Stops & Country Stores, Inc.","121008412","Dwight","4","483237.8400","445740.1800","37497.6600","127718.0000","90220.2700","37497.7300","11249.3600","9374.4700","1874.8900",
"Love's Travel Stops & Country Stores, Inc.","121010101","North Utica","5","613425.0100","567289.1300","46135.8800","174045.0000","127531.0400","46513.9600","13954.2200","11628.5200","2325.7000",
"Love's Travel Stops & Country Stores, Inc.","121010097","Williamsville","4","487847.3100","436978.1200","50869.1900","141255.0000","90386.8400","50868.1600","15260.5100","12717.1000","2543.4100",
"Love's Travel Stops & Country Stores, Inc.","121010098","Ina","4","696312.6900","643425.6500","52887.0400","171822.0000","118931.7000","52890.3000","15867.1300","13222.6100","2644.5200",
"Love's Travel Stops & Country Stores, Inc.","121010103","Greenville","4","721419.0000","661786.6900","59632.3100","173410.0000","113777.6900","59632.3100","17889.7600","14908.1300","2981.6300",
"Love's Travel Stops & Country Stores, Inc.","121010104","Kankakee","4","575724.9600","533598.4800","42126.4800","160323.0000","118196.5200","42126.4800","12637.9600","10531.6400","2106.3200",
"Love's Travel Stops & Country Stores, Inc.","121010100","Roscoe","5","517849.5200","472421.5400","45427.9800","150307.0000","104879.1500","45427.8500","13628.4100","11357.0100","2271.4000",
"Love's Travel Stops & Country Stores, Inc.","121010102","Leroy","4","439641.3600","404782.6400","34858.7200","119869.0000","85010.7800","34858.2200","10457.4800","8714.5700","1742.9100",
"Loves Park Scuba, Inc.","130704849","Loves Park","4","70455.1100","66284.7900","4170.3200","19626.0000","15455.5300","4170.4700","1251.1500","1042.6200","208.5300",
"Lowell Kepner","120709171","Manlius","4","86665.6600","81788.0900","4877.5700","34616.0000","29738.4300","4877.5700","1463.3200","1219.4300","243.8900",
"Loyal Order of Moose #1016 Corp.","120800431","Sandwich","5","195055.3800","177228.3800","17827.0000","61255.0000","43428.0000","17827.0000","5348.2100","4456.8400","891.3700",
"LOYAL ORDER OF MOOSE VANDALIA LODGE NO. 1447","120804630","Vandalia","5","197784.9200","183552.8200","14232.1000","58432.0000","44199.9000","14232.1000","4269.7000","3558.0800","711.6200",
"LOYAL ORDER OF MOOSE, LODGE NO. 1216 CARLINVILLE, ILL.","120812061","Carlinville","5","114508.3600","108511.5000","5996.8600","30068.0000","24072.1100","5995.8900","1798.7200","1498.9400","299.7800",
"LPB3, Inc.","120705361","Chicago Heights","5","445736.5600","405110.2400","40626.3200","143082.0000","102455.6800","40626.3200","12187.9600","10156.6400","2031.3200",
"LSB One, Inc.","120711243","Decatur","5","164978.6100","148167.4600","16811.1500","63932.0000","47120.5400","16811.4600","5043.4900","4202.9100","840.5800",
"LSMRDW LLC","150702814","Wataga","4","134345.8200","124141.8700","10203.9500","42482.0000","32278.0500","10203.9500","3061.2000","2551.0000","510.2000",
"Lt. Robert C.A. Carlson Post #1207, The American Legion","130900655","Rockford","5","256562.9600","235066.7500","21496.2100","72130.0000","50633.6400","21496.3600","6448.9600","5374.1300","1074.8300",
"Lu & Denny's Inc.","130706079","Tolono","4","189408.9100","179868.5400","9540.3700","54911.0000","45370.6300","9540.3700","2862.1300","2385.1100","477.0200",
"Luby Brothers, LLC","140700317","Tinley Park","2","439.6000","360.9200","78.6800","112.0000","33.3200","78.6800","23.6100","19.6800","3.9300",
"LUCA PIZZA INC.","140701059","Springfield","5","220555.6100","204826.0600","15729.5500","73609.0000","57879.3300","15729.6700","4718.9700","3932.4800","786.4900",
"Lucas-Peoria, Inc.","120712372","Peoria","3","60579.8300","53876.6300","6703.2000","18658.0000","11954.8000","6703.2000","2010.9800","1675.8100","335.1700",
"Lucha Cantina, Inc.","130705264","Rockford","3","86361.3600","81083.7900","5277.5700","27153.0000","21875.4300","5277.5700","1583.2800","1319.4000","263.8800",
"Luck Cafe, INC.","160701034","Elmwood Park","5","299039.4100","277100.5200","21938.8900","96691.0000","74752.1100","21938.8900","6581.6900","5484.7500","1096.9400",
"LUCKI CAFE, INC.","160700613","Addison","5","244205.8700","220760.3500","23445.5200","81689.0000","58243.4800","23445.5200","7033.6800","5861.4100","1172.2700",
"Luckie Enterprises, Inc.","120702956","Tazewell County","5","275606.3500","258741.1400","16865.2100","93647.0000","76781.7900","16865.2100","5059.5700","4216.3100","843.2600",
"LUCKY 7'S CAFE LLC","160702122","Summit","5","528612.1100","479783.0000","48829.1100","151483.0000","102653.8900","48829.1100","14648.7700","12207.3100","2441.4600",
"LUCKY 8, INC.","120706652","Petersburg","3","57172.7700","50179.4700","6993.3000","19082.0000","12089.0500","6992.9500","2097.8800","1748.2300","349.6500",
"LUCKY DOG GAMING LLC","130700117","Cherry Valley","5","294682.3700","279000.6300","15681.7400","83207.0000","67525.2100","15681.7900","4704.6000","3920.5000","784.1000",
"LUCKY DOG III, INCORPORATED","150702129","Berwyn","5","420321.4100","387429.7800","32891.6300","131778.0000","98886.3700","32891.6300","9867.5800","8222.9900","1644.5900",
"LUCKY DOG IV, INC.","160702495","Broadview","5","154876.2200","143467.3000","11408.9200","62735.0000","51326.0800","11408.9200","3422.7400","2852.2800","570.4600",
"Lucky Dog's Pub & Eatery, Inc.","140702484","Chillicothe","5","220529.9300","206322.7000","14207.2300","71139.0000","56931.7000","14207.3000","4262.3000","3551.9200","710.3800",
"Lucky Emma's, LLC","150700564","Round Lake","5","565301.8500","519245.7000","46056.1500","162523.0000","116466.8500","46056.1500","13816.8800","11514.0700","2302.8100",
"LUCKY JACK'S - ZION, INC.","160700258","Zion","5","763216.1700","697253.9700","65962.2000","233004.0000","167041.8000","65962.2000","19788.7300","16490.6100","3298.1200",
"LUCKY JACK'S, INC.","150700378","Waukegan","5","959554.7300","876438.0300","83116.7000","325983.0000","242866.3000","83116.7000","24935.1100","20779.2600","4155.8500",
"Lucky Jack's-NC Inc.","160701137","North Chicago","5","355811.4000","325247.1000","30564.3000","129569.0000","99004.7000","30564.3000","9169.3200","7641.1000","1528.2200",
"Lucky Joe's Corner Bar and Grill, LLC","130701774","Freeburg","3","65175.1600","57504.9900","7670.1700","22322.0000","14652.0300","7669.9700","2301.0300","1917.5200","383.5100",
"LUCKY JOHN'S LLC","160702707","Summit","5","93690.3000","85619.3900","8070.9100","33651.0000","25580.0900","8070.9100","2421.3300","2017.7700","403.5600",
"Lucky Luke's, L.L.C.","120710143","Rock Island","5","427829.9800","395129.0200","32700.9600","118120.0000","85419.0400","32700.9600","9810.2900","8175.2400","1635.0500",
"LUCKY ME, LLC","160702474","Decatur","5","339972.0500","314529.3100","25442.7400","111879.0000","86416.2600","25462.7400","7638.8400","6365.7000","1273.1400",
"Lucky Parrot, Inc.","140703286","Carbon Hill","3","48357.8400","43573.5000","4784.3400","15216.0000","10431.6600","4784.3400","1435.3500","1196.1200","239.2300",
"Lucky Rooster, LLC","140704424","St. Jacob","5","60866.6500","58467.2000","2399.4500","18072.0000","15672.4700","2399.5300","719.9200","599.9400","119.9800",
"LUCKY ROSE, INC.","160701571","Swansea","5","182545.1000","166027.5800","16517.5200","57300.0000","40782.4800","16517.5200","4955.2800","4129.4000","825.8800",
"Lucky Slots Cafe Inc.","150703883","Carlyle","5","358280.7000","330513.1700","27767.5300","97742.0000","69974.4700","27767.5300","8330.2600","6941.8900","1388.3700",
"Lucky Spin, Inc.","160700794","Ashmore","5","116192.6100","105306.3800","10886.2300","30664.0000","19777.7700","10886.2300","3265.8500","2721.5400","544.3100",
"Lucky's Drive-In, Inc.","120702295","Oak Forest","5","146496.8200","134519.5000","11977.3200","52134.0000","40156.7500","11977.2500","3593.2400","2994.3700","598.8700",
"Lucky's Gaming LLC","140701627","Benld","5","208709.1200","191353.5400","17355.5800","61714.0000","44358.4200","17355.5800","5206.6900","4338.9100","867.7800",
"LUCKY'S LLC","140703205","Berwyn","5","287720.1700","265354.5300","22365.6400","98986.0000","76623.3600","22362.6400","6708.8800","5590.7400","1118.1400",
"Lucy's Bistro, LLC","150700471","East Dundee","5","196566.9000","177850.8800","18716.0200","60740.0000","42024.1300","18715.8700","5614.8200","4679.0200","935.8000",
"Lucy's Place, LLC","140700033","Jerome","5","499070.7200","465763.3100","33307.4100","161574.0000","128266.5900","33307.4100","9992.2300","8326.8600","1665.3700",
"Lucy's Place, LLC","130700816","Alton","5","782611.0300","727363.1200","55247.9100","222615.0000","167367.0900","55247.9100","16574.4100","13812.0100","2762.4000",
"Lucy's Place, LLC","120706635","Fairview Heights","5","691492.3200","648316.2800","43176.0400","202780.0000","159603.9600","43176.0400","12952.8700","10794.0600","2158.8100",
"Lucy's Place, LLC","120706577","Marion","5","491346.2400","460591.0800","30755.1600","142581.0000","111825.8400","30755.1600","9226.5600","7688.8000","1537.7600",
"Lucy's Place, LLC","120706578","Mount Carmel","5","537008.6700","493936.6000","43072.0700","155941.0000","112868.9300","43072.0700","12921.6800","10768.0700","2153.6100",
"Lucy's Place, LLC","120708214","Litchfield","5","611444.3200","563351.2100","48093.1100","149479.0000","101385.7900","48093.2100","14427.9800","12023.3200","2404.6600",
"Lucy's Place, LLC","120712021","Jacksonville","5","632062.6500","587434.2900","44628.3600","180543.0000","135914.8200","44628.1800","13388.4900","11157.0700","2231.4200",
"Lucy's Place, LLC","150700889","Grandview","5","361969.7900","341367.1200","20602.6700","107782.0000","87179.3300","20602.6700","6180.8700","5150.7300","1030.1400",
"Lucy's Place, LLC","130700286","Springfield","5","444283.4500","411780.8000","32502.6500","145440.0000","112937.3500","32502.6500","9750.8400","8125.7000","1625.1400",
"Lucy's Place, LLC","130700814","Springfield","5","616755.0700","573748.1600","43006.9100","190779.0000","147772.0900","43006.9100","12902.1200","10751.7700","2150.3500",
"Lucy's Place, LLC","130700815","Springfield","5","653151.1100","607582.5700","45568.5400","214509.0000","168940.4600","45568.5400","13670.5700","11392.1400","2278.4300",
"Lucy's Place, LLC","120706634","Centralia","5","746561.4700","692384.3900","54177.0800","202232.0000","148054.9200","54177.0800","16253.1700","13544.3100","2708.8600",
"Lucy's Place, LLC","120701978","Marion","5","365259.4300","336903.9400","28355.4900","98923.0000","70567.5100","28355.4900","8506.6500","7088.8700","1417.7800",
"Lucy's Place, LLC","120708226","Fairview Heights","5","697098.2600","636601.6400","60496.6200","206074.0000","145577.2300","60496.7700","18149.1200","15124.2700","3024.8500",
"Lucy's Place, LLC","120706582","Harrisburg","5","334046.2600","312069.0800","21977.1800","91085.0000","69107.8200","21977.1800","6593.1700","5494.3100","1098.8600",
"Lucy's Place, LLC","120708302","Wood River","5","772321.9400","715995.7400","56326.2000","213669.0000","157342.8000","56326.2000","16897.9200","14081.6000","2816.3200",
"Lucy's Place, LLC","120710166","Springfield","5","632642.4400","586075.9700","46566.4700","187855.0000","141288.5300","46566.4700","13969.9500","11641.6200","2328.3300",
"Lucy's Place, LLC","120710238","Springfield","5","526742.8600","488644.7300","38098.1300","162740.0000","124641.8700","38098.1300","11429.5200","9524.6100","1904.9100",
"Lucy's Place, LLC","120711745","Springfield","5","623009.8000","577791.7400","45218.0600","177196.0000","131977.9400","45218.0600","13565.4500","11304.5400","2260.9100",
"Lucy's Place, LLC","120710811","Salem","5","612058.1900","570784.1300","41274.0600","154768.0000","113493.9400","41274.0600","12382.2600","10318.5500","2063.7100",
"Lucy's Place, LLC","120711841","Chester","5","616943.7100","571516.8300","45426.8800","166475.0000","121041.1700","45433.8300","13630.2200","11358.5200","2271.7000",
"Lucy's Place, LLC","150702415","Elmwood Park","5","438207.0800","395160.6600","43046.4200","114120.0000","71073.5800","43046.4200","12914.0000","10761.6700","2152.3300",
"Lucy's Place, LLC","160703551","Mattoon","5","364071.9100","341071.7900","23000.1200","107769.0000","84768.8800","23000.1200","6900.0700","5750.0600","1150.0100",
"LUD'S INVESTMENTS, INC.","120700473","Salem","5","125281.0900","117373.6900","7907.4000","36027.0000","28119.6000","7907.4000","2372.1700","1976.8100","395.3600",
"Ludy's Kickapoo Creek Saloon, Inc.","120706063","Peoria County","4","73662.4600","68199.1200","5463.3400","23403.0000","17939.6500","5463.3500","1639.0300","1365.8600","273.1700",
"Luigi's Paisans Pizza, Inc.","130702452","Berwyn","5","160623.5400","147345.3000","13278.2400","57364.0000","44084.7600","13279.2400","3983.8400","3319.8700","663.9700",
"Lukenbachs, Inc.","120708501","Altamont","4","90147.1500","81906.7600","8240.3900","28321.0000","20080.1100","8240.8900","2472.3200","2060.2700","412.0500",
"LUNA ALVARADO INC.","150700579","Dixon","4","73654.9100","66687.4500","6967.4600","27358.0000","20390.5400","6967.4600","2090.2700","1741.8900","348.3800",
"LUNA NUEVA, INC.","150703362","Decatur","5","359658.5600","329330.8000","30327.7600","119730.0000","89401.9100","30328.0900","9098.4500","7582.0500","1516.4000",
